numOfTrips,duration,distance,pickup_community_area
365,2049.62138705319,13.2339505626731,76
298,1455.18136832218,11.8508180471625,47
365,1728.0100539116,11.0204331358818,56
196,1384.84583313611,10.6989642296899,54
171,1822.58430989583,10.4330701542833,55
179,1453.28445178836,9.49305401005725,52
353,1242.69237295696,8.57658667288847,75
344,1264.71753957105,7.93967073715054,53
327,1330.50480213224,7.84190035110129,72
185,1129.4340405026,7.1366409017931,74
364,1456.66092732188,7.10738966016324,46
360,1326.6383822759,6.98776260529541,73
365,1249.86455514986,6.63769154691533,49
365,1589.38471830185,6.58295353471416,71
363,1478.34133520205,6.56062509686001,70
333,959.549787950945,6.3449961595998,50
361,1398.12234649236,6.31287447674783,66
365,1232.14606992121,6.26800187515886,43
347,1368.98901191294,6.22832895199948,62
358,1421.07797693007,6.06026483331313,67
345,1555.73872070312,6.05991332166815,63
357,1155.55876191724,5.94504659668822,64
355,1295.61998239437,5.9365312803799,18
365,1205.68465893889,5.89677159165683,41
350,1175.12497678484,5.79797905302473,51
365,1227.08933314493,5.78896554888111,25
364,1240.29594899272,5.70013984366433,68
365,1139.10506290802,5.6509891199739,44
364,1159.71385946018,5.54839579566576,26
365,1179.4026405648,5.52651972795186,29
365,1267.23241953393,5.47041687459162,30
348,1272.97136435015,5.450094965506,65
355,1008.21522809955,5.37686249739162,57
365,1155.90120306146,5.28868671345384,69
365,1267.66939530046,5.25612342618916,42
363,1348.10034768181,5.2150213072723,37
365,1002.69353411949,4.84430258568019,10
365,1077.1147260274,4.81943468459665,39
353,1143.89019516034,4.68463900638876,48
365,866.678152758455,4.43846542345334,0
351,930.901742831934,4.36285693327925,9
358,1398.53198438317,4.31532278119498,45
365,1126.66426358158,4.27861917337326,61
365,1018.40163590941,4.26155481477306,36
365,1001.67974510715,4.20136311576791,12
364,918.053702092433,4.18093275741909,58
365,1039.63621073684,4.17724355050962,17
365,1107.78067576787,4.11870875542294,40
365,1050.23984099088,3.91799311180637,60
365,1130.87817976442,3.91395622867427,38
365,945.891093382117,3.85776595742735,23
365,1062.10242033658,3.85632685765828,19
365,1086.76214867161,3.772390122283,20
365,909.413702727017,3.7292622902622,34
365,898.554049306373,3.69530718032628,31
365,967.651189767498,3.69240506642485,14
365,961.259850238121,3.68839432572665,33
365,911.703791035691,3.57027709647401,5
365,904.957759073336,3.52380370407888,15
365,836.565836700021,3.25238983337193,77
365,884.069618036976,3.24166292099104,4
365,817.449549510381,3.23198178957586,3
365,760.40675935092,3.20106607789863,11
365,852.527880692155,3.19325716626154,16
365,811.908326031411,3.16436850926647,22
365,831.942119274401,3.12760024658621,1
365,820.744550647474,3.11409350813252,6
365,853.084880672089,3.02338769991104,35
365,871.683141588185,2.98830991542503,13
365,889.109716796875,2.85411510075608,2
365,773.126769685092,2.71816707702532,7
365,728.077220174711,2.70846992910725,24
365,677.371774584626,2.59609175218295,21
365,628.021799395836,2.42711948205347,27
365,669.495474117749,2.38409764734033,32
365,662.731638952804,2.29121190521815,8
365,679.53871000107,2.18848141121538,28
363,1264.17794265957,2.11680666945321,59
