duration,length,trip_start_year,trip_start_month,trip_start_day,pickup_community_area
1292.2277777777779,6.5726111111111107,2018,1,18,41
907.49494949494942,6.4197979797979805,2018,1,14,41
858.18449612403094,3.2001705426356586,2018,1,18,3
590.69474778991173,1.98057194176593,2018,1,12,8
637.14744444444591,2.1166288888888825,2018,1,22,8
612.5491911087729,1.9956935218678034,2018,1,10,8
551.34713397554015,1.8396788740092953,2018,1,4,8
636.435377597567,2.2094221996958945,2018,1,20,7
657.08552864737135,1.9289320732427655,2018,1,17,28
564.71111953021352,1.8850236787270329,2018,1,2,28
871.01136363636363,2.6195454545454546,2018,1,19,2
2540.6296296296291,5.0892592592592587,2018,1,23,43
977.82352941176475,6.5583333333333336,2018,1,21,43
570.9,1.834,2018,1,20,36
1039.3636363636363,4.9313636363636366,2018,1,20,38
543.04769791321678,2.3509009605829743,2018,1,21,32
511.01377633711553,2.0956118314424628,2018,1,6,32
651.01250211184379,2.3549946493945435,2018,1,26,32
777.469049694856,3.027959895379249,2018,1,23,7
684.63636363636363,3.2863636363636362,2018,1,18,61
887.99105145413864,3.3076062639821031,2018,1,29,77
1001.3913043478261,4.2926086956521736,2018,1,18,23
1040,3.46,2018,1,19,65
660.58064516129025,3.1311290322580643,2018,1,19,10
916.511961722488,3.788708133971292,2018,1,22,1
1001.822033898305,3.2107627118644073,2018,1,8,21
870.55066079295159,2.7814757709251094,2018,1,28,22
583.2,2.0492,2018,1,3,13
544.074074074074,2.9448148148148148,2018,1,28,31
711.90876565295184,2.9186046511627906,2018,1,29,24
588.60377358490564,2.5450943396226413,2018,1,28,23
673.58525345622138,3.3512211981566828,2018,1,2,77
994.75144508670519,5.580809248554913,2018,1,24,41
655.61443661971839,2.7522359154929585,2018,1,23,24
687.36381709741545,2.7747713717693845,2018,1,2,24
1028.75,5.1075,2018,1,30,36
3381.1884057971006,1.0302898550724633,2018,1,17,59
848.54166666666663,4.0041666666666664,2018,1,26,19
694.00000000000011,4.3015384615384624,2018,1,28,60
902.952380952381,3.8809523809523809,2018,1,18,44
851.1138613861383,3.0706930693069312,2018,1,26,16
736.20395576350472,4.6735487986391657,2018,1,8,
1199.4545454545455,7.0954545454545457,2018,1,8,66
1501.1428571428571,7.7085714285714291,2018,1,8,30
878.15384615384619,4.3451923076923071,2018,1,3,39
896,6.1538461538461524,2018,1,28,42
547.6,2.0340000000000003,2018,1,13,36
653.2941176470589,2.5117647058823529,2018,1,16,36
932.16666666666663,3.6566666666666663,2018,1,7,36
786.40000000000009,4.3313333333333341,2018,1,2,69
470.28571428571428,2.8328571428571427,2018,1,12,37
592,3.7350000000000003,2018,1,11,37
676.11999999999989,4.1452,2018,1,5,34
889.1052631578948,2.3015789473684207,2018,1,8,67
1404.1111111111111,10.598888888888887,2018,1,22,75
413.18181818181824,1.7524242424242422,2018,1,6,27
544.84210526315792,1.9328947368421052,2018,1,4,27
861.38461538461536,4.6230769230769226,2018,1,2,25
1975.3571428571429,6.548571428571428,2018,1,16,25
889.21621621621614,2.8983783783783785,2018,1,3,19
599.85365853658539,3.440975609756098,2018,1,15,10
573.19999999999993,2.4499999999999997,2018,1,28,17
763.27272727272725,2.8036363636363637,2018,1,23,17
900.8,2.6639999999999997,2018,1,29,53
734.52402343750009,4.4245429687499955,2018,1,29,
823.40103492884782,4.0450032341526541,2019,1,16,
779.58379446640345,4.0530909090909057,2019,1,7,
858.25153793574873,5.329139344262293,2019,1,13,
553.01954433772539,2.1249173553719016,2019,1,13,8
905.31645569620264,3.04253164556962,2019,1,7,11
1476.375,6.8625000000000007,2018,1,29,66
609.875,5.001875,2018,1,30,49
752.3,4.074,2018,1,29,17
685.21957112654786,3.8746632437330137,2018,1,27,
879.66666666666663,6.9,2018,1,6,46
1730.5,16.25,2018,1,1,53
2338.8461538461538,18.123076923076923,2018,1,19,47
1423.6666666666665,5.0773333333333328,2018,1,19,69
1082.6363636363635,5.3481818181818186,2018,1,12,69
1905.3333333333333,11.666666666666666,2018,1,20,71
644.432,2.53392,2019,1,27,14
1038.1933333333332,4.9616666666666669,2019,1,8,41
839.2022263450832,3.15456400742115,2019,1,24,6
713.57606837606852,2.8445051194539253,2019,1,1,3
840.87559808612446,3.2429665071770333,2019,1,22,3
864.82567049808449,3.1818199233716471,2019,1,25,3
563.68000000000006,2.2773999999999996,2019,1,3,21
633.27272727272737,2.4735353535353535,2019,1,4,21
1350,4.2,2019,1,19,47
801.73913043478251,2.79916149068323,2019,1,1,33
727.23992673992677,2.6891941391941385,2019,1,24,33
816.13162705667264,2.9483638025594145,2019,1,17,6
667.216068806377,1.8948563037549817,2019,1,28,28
652.38095238095241,2.789047619047619,2019,1,20,31
839.4329896907218,3.371752577319588,2019,1,7,2
1820.3333333333335,1.75,2019,1,15,63
1419.5384615384612,6.8438461538461546,2019,1,2,30
900,4.4,2019,1,13,64
1299.7142857142858,3.0485714285714285,2019,1,28,51
5170.4375,6.6556250000000006,2019,1,14,48
1316.5,9.18,2019,1,9,48
1164.891304347826,6.5504347826086962,2019,1,16,43
2496,8.208,2019,1,8,45
1167.9545454545453,6.8945454545454545,2019,1,9,42
745.57575757575762,4.3618181818181823,2019,1,6,39
726.76923076923072,3.3953846153846152,2019,1,3,36
552.78571428571422,2.2142857142857144,2019,1,14,36
733.15217391304338,2.9515053763440862,2019,1,25,35
866.60869565217388,5.88,2019,1,21,44
1218.3461538461538,8.3738461538461539,2019,1,10,69
866.50943396226421,2.465283018867924,2019,1,18,38
854.97222222222217,3.2436111111111114,2019,1,11,38
