numberOfTrips,start_day,start_month,start_year,Community Areas,duration,distance
60,23,3,2018,33,785,2.41137735719292
749,21,4,2018,68,1179,2.15888879290515
36,9,1,2018,76,504,1.50859987599022
4,15,9,2018,3,883,2.95189289231877
2,31,3,2018,28,1490,4.80869421039973
7,21,12,2018,5,536,1.8058630632696
1,19,10,2018,40,383,0.970103931240472
3,15,8,2018,65,1717,0.917128742154616
35,28,2,2018,9,387,1.0473934091777
2,26,3,2018,21,1023,3.67580139117797
425,30,11,2018,25,759,2.31691709413939
976,16,4,2018,38,602,1.59945942884746
2,29,12,2018,20,1702,3.46319644453748
6,2,9,2018,7,1818,2.07732981533479
75,17,8,2018,58,1006,2.76273604689271
2,24,1,2018,56,1778,5.70998733758779
33,4,3,2018,35,706,1.66597749894613
44,8,5,2018,16,1089,2.38250930928157
6,2,9,2018,13,1883,2.16386101554671
20,18,3,2018,58,844,2.4349827944493
3824,14,9,2018,37,1376,2.14294960163632
8,25,1,2018,22,1018,3.03815079655305
25,18,8,2018,24,11791,2.62238281081924
235,4,8,2018,1,2006,2.77449549568794
31,23,10,2018,58,886,2.79115345811487
6,24,4,2018,27,1108,3.11942018526303
59,15,7,2018,5,2873,3.24830447098084
3,29,11,2018,39,1411,3.24838979605759
3,9,12,2018,7,1186,2.39847837433142
55,11,6,2018,35,1136,2.13420946338722
138,25,8,2018,33,1250,2.64031136285071
52,5,5,2018,5,2322,3.39435701416352
27,24,1,2018,76,444,1.42469230421023
88,14,2,2018,6,628,1.55614251467903
1,9,1,2018,56,1727,5.67366914676145
37,13,2,2018,0,630,1.41490851988831
147,21,8,2018,76,889,2.21705663368183
6,2,2,2018,5,455,1.05979565938727
72,21,1,2018,31,609,1.78353929960811
280,17,11,2018,38,1546,1.48961487663488
173,14,4,2018,68,955,1.49509119713335
95,18,6,2018,46,1288,3.02274410464181
122,23,6,2018,10,1423,2.62879870779636
7,10,12,2018,13,763,2.2311582611593
569,19,2,2018,37,648,1.75524258359169
278,29,7,2018,8,2350,3.20963307479815
9,13,7,2018,59,3747,2.32626687357989
21,25,6,2018,32,1317,2.93964853728436
71,31,5,2018,35,1402,2.05121639069033
379,8,10,2018,31,1663,2.76909690568604
2583,26,6,2018,38,1000,1.93115903748879
178,8,2,2018,68,663,2.00488938860693
9,31,3,2018,5,554,1.39114048586473
5,23,3,2018,39,882,0.850166096942715
58,19,10,2018,0,750,1.61996013606359
1,23,10,2018,41,2278,1.58681140548577
34,30,1,2018,46,593,2.08430749883712
3,15,3,2018,56,1520,5.08440844782831
2,14,5,2018,3,790,2.46326515300202
50,11,11,2018,1,8957,1.48586832971752
1,12,11,2018,7,966,2.61140531914001
9,30,1,2018,20,870,3.01504236897827
433,13,12,2018,25,728,2.18855352638264
2,1,12,2018,24,468,1.48116514712046
17,27,7,2018,56,1572,2.67769465889327
471,22,4,2018,25,960,2.1527362609627
8,31,10,2018,24,1085,3.47773290728202
41,23,10,2018,35,773,1.34899706250323
476,28,5,2018,23,1546,2.41728960570728
17,2,7,2018,32,1457,3.38317427722399
476,11,3,2018,38,1365,1.46918964505342
2,10,1,2018,56,1614,5.70998733758779
87,8,6,2018,0,2765,1.75362119538998
50,22,1,2018,31,572,1.58644373785353
645,11,5,2018,68,943,2.2299454508419
2,6,10,2018,3,1160,5.31884411617637
2,23,3,2018,13,490,2.05265938677902
134,12,8,2018,10,1835,3.39326288194279
472,18,11,2018,38,1364,1.64841777140534
6,8,5,2018,56,1691,2.93346197400484
104,26,8,2018,33,1336,2.81588912007476
43,20,3,2018,1,814,1.55225890778151
36,21,7,2018,16,1521,3.424742043674
7,10,7,2018,21,2193,4.04506926199199
237,20,5,2018,34,2558,1.88821355438006
1,28,10,2018,15,2143,5.24076743782851
27,23,8,2018,5,880,2.02080501093196
57,2,7,2018,58,1037,2.35103341272386
1,5,2,2018,14,420,1.0030777918686
922,8,10,2018,25,1491,2.34716742409463
18,7,1,2018,8,532,1.10964076581399
33,20,10,2018,0,1047,2.29432023533187
11,2,9,2018,56,2058,2.96369901402405
451,30,11,2018,68,716,2.21256681109999
6,2,12,2018,24,1501,4.83725407050415
4,18,8,2018,67,1406,1.94572674275715
5,8,5,2018,59,1242,3.14404006923887
7,22,4,2018,28,1202,3.19146783167419
2,9,12,2018,13,901,2.8443636117262
89,20,5,2018,31,844,2.11558361672539
20,10,7,2018,24,1833,2.82743130894095
4,9,9,2018,13,1318,2.12539237035257
1,11,3,2018,41,563,1.11701866066385
18,23,3,2018,16,826,2.23828840349345
3,25,11,2018,24,1057,2.10467797893269
139,30,1,2018,23,603,1.91416807783177
33,3,6,2018,20,3316,2.79450958945699
256,19,10,2018,23,876,2.44583789722736
2,11,10,2018,40,512,1.38538260528765
33,11,6,2018,9,1186,1.25002501875602
36,18,4,2018,10,605,1.97514436283571
260,22,1,2018,57,529,1.70006526121901
27,27,5,2018,20,1468,2.04313196230358
6,7,4,2018,5,370,1.09213218643564
6,1,9,2018,24,1362,4.13333668513212
3,28,2,2018,26,1021,3.89564789212683
171,13,1,2018,68,511,1.52706628665005
251,19,5,2018,31,1220,2.86527747217044
9,11,8,2018,7,920,1.59978221393857
504,20,2,2018,37,621,1.69948602933874
4,29,1,2018,14,366,0.957317694260693
55,5,10,2018,0,844,2.21308405005874
420,25,3,2018,38,1213,1.65233576825204
6,31,10,2018,30,1024,3.06780252204139
11,26,1,2018,5,933,2.89713078403471
62,30,9,2018,9,1099,1.66128401366785
18,25,8,2018,30,2079,3.25504401786967
1,27,2,2018,26,1129,6.49754264762013
51,12,11,2018,10,450,1.24815493513239
145,3,6,2018,46,1062,2.6601539534032
1,5,12,2018,59,721,2.72430941483971
230,21,1,2018,25,714,2.13691729510763
5,22,12,2018,14,870,2.78495440308931
70,25,6,2018,58,1263,2.32305758608527
19,22,7,2018,22,1052,3.28417305444079
9,13,7,2018,56,1389,4.89872072592955
5,5,7,2018,67,1252,0.596700143358091
1,12,10,2018,66,391,1.68119845746015
2,30,12,2018,3,12195,0.509796961704535
84,14,12,2018,31,667,2.12929178414918
43,13,5,2018,0,1364,1.51145989550887
119,4,6,2018,46,921,2.66578489815048
69,27,2,2018,0,715,1.58005958551104
233,27,7,2018,76,1935,3.68791353422886
32,21,9,2018,14,1073,2.43439076887471
33,17,1,2018,10,509,1.40444520524671
1,15,9,2018,40,1875,4.90307207886529
13,28,4,2018,5,760,1.15130874413175
17,11,7,2018,4,1209,2.63138079557525
106,20,7,2018,10,862,2.25638921897349
22,4,10,2018,14,593,1.59285209084458
88,7,5,2018,0,1962,2.21587019777369
12,14,5,2018,20,847,1.20499183142168
15,3,9,2018,39,3439,1.88720375310664
413,30,7,2018,31,1894,2.96334866417275
60,8,7,2018,35,4092,2.29602793656142
471,12,12,2018,68,856,2.18035685456939
4,8,1,2018,67,1187,0.146670197040266
2,21,11,2018,30,1259,2.19821565051521
2,2,2,2018,22,1413,4.77247550919574
7,20,4,2018,39,1087,2.22086587208377
71,11,4,2018,33,825,2.19182118093757
14,28,9,2018,20,754,2.40234651994504
147,12,10,2018,6,550,1.68611315994496
6,1,7,2018,32,1146,3.53653601259299
10,21,8,2018,59,1755,2.61493275274622
941,29,8,2018,25,804,2.28678004394363
19,5,12,2018,16,651,1.81852028378079
170,23,4,2018,8,646,1.60981288297153
743,22,9,2018,34,2511,2.50524792212077
1,10,9,2018,42,1423,0
41,18,4,2018,33,620,1.95116216490619
13,26,1,2018,22,763,2.73196906323351
5,8,9,2018,30,1235,3.54816944158687
76,28,1,2018,34,876,1.80304479170245
5,23,11,2018,59,1361,3.79129981656872
37,20,9,2018,5,1207,3.16047646383155
19,3,1,2018,76,455,1.01357823494006
177,28,4,2018,31,1629,2.59839040805721
519,20,1,2018,68,846,2.09570537223729
27,27,11,2018,10,573,1.34314766050327
2,25,8,2018,7,1143,1.60600750442252
4,26,1,2018,28,846,2.07580209380708
2,9,1,2018,7,944,2.33556049479786
2,31,1,2018,3,534,1.90581015548657
1,20,11,2018,67,624,1.93926978790397
1,7,2,2018,3,897,2.79202638756408
37,11,9,2018,5,1094,2.62855811146835
197,15,9,2018,46,1324,2.65823019290036
1,7,7,2018,56,6197,0
446,20,12,2018,25,691,2.1523731386948
4,29,11,2018,22,891,1.74042210559552
38,3,12,2018,10,422,1.22555421880102
58,14,5,2018,46,1946,2.24272864396936
34,18,7,2018,4,1134,2.25765517237557
130,13,12,2018,8,471,1.17061092417574
669,13,9,2018,34,1390,2.52756154862629
1,10,2,2018,14,630,1.87349686338806
